MSSV,Họ Tên,Email
"22110041","Võ Trọng Hải","22110041@student.hcmute.edu.vn"
"22110042","Đặng Tuấn Long","22110042@student.hcmute.edu.vn"
"22110043","Bùi Thị Phúc","22110043@student.hcmute.edu.vn"
"22110044","Đỗ Quốc Tiến","22110044@student.hcmute.edu.vn"
"22110045","Hồ Đình Vinh","22110045@student.hcmute.edu.vn"
"22110046","Ngô Gia Cường","22110046@student.hcmute.edu.vn"
"22110047","Dương Bảo Hoàng","22110047@student.hcmute.edu.vn"
"22110048","Lý Văn Nam","22110048@student.hcmute.edu.vn"
"22110049","Huỳnh Đức Quang","22110049@student.hcmute.edu.vn"
"22110050","Đoàn Ngọc Trí","22110050@student.hcmute.edu.vn"
"22110051","Nguyễn Hoàng Việt","22110051@student.hcmute.edu.vn"
"22110052","Trần Quang Đạt","22110052@student.hcmute.edu.vn"
"22110053","Lê Thành Huy","22110053@student.hcmute.edu.vn"
"22110054","Phạm Hữu Nhân","22110054@student.hcmute.edu.vn"
"22110055","Hoàng Thanh Thắng","22110055@student.hcmute.edu.vn"
"22110056","Phan Minh Tú","22110056@student.hcmute.edu.vn"
"22110057","Vũ Trọng Tài","22110057@student.hcmute.edu.vn"
"22110058","Võ Tuấn Hà","22110058@student.hcmute.edu.vn"
"22110059","Đặng Thị Kiệt","22110059@student.hcmute.edu.vn"
"22110060","Bùi Quốc Phong","22110060@student.hcmute.edu.vn"
"22110061","Đỗ Đình Thuận","22110061@student.hcmute.edu.vn"
"22110062","Hồ Gia Tùng","22110062@student.hcmute.edu.vn"
"22110063","Ngô Bảo Bình","22110063@student.hcmute.edu.vn"
"22110064","Dương Văn Hiếu","22110064@student.hcmute.edu.vn"
"22110065","Lý Đức Minh","22110065@student.hcmute.edu.vn"
"22110066","Huỳnh Ngọc Quân","22110066@student.hcmute.edu.vn"
"22110067","Đoàn Hoàng Toàn","22110067@student.hcmute.edu.vn"
"22110068","Nguyễn Quang Vũ","22110068@student.hcmute.edu.vn"
"22110069","Trần Thành Dũng","22110069@student.hcmute.edu.vn"
"22110070","Lê Hữu Hùng","22110070@student.hcmute.edu.vn"
"22110071","Phạm Thanh Nghĩa","22110071@student.hcmute.edu.vn"
"22110072","Hoàng Minh Sơn","22110072@student.hcmute.edu.vn"
"22110073","Phan Trọng Trung","22110073@student.hcmute.edu.vn"
"22110074","Vũ Tuấn Khang","22110074@student.hcmute.edu.vn"
"22110075","Võ Thị Giang","22110075@student.hcmute.edu.vn"
"22110076","Đặng Quốc Khoa","22110076@student.hcmute.edu.vn"
"22110077","Bùi Đình Phát","22110077@student.hcmute.edu.vn"
"22110078","Đỗ Gia Thịnh","22110078@student.hcmute.edu.vn"
"22110079","Hồ Bảo Tuấn","22110079@student.hcmute.edu.vn"
"22110080","Ngô Văn An","22110080@student.hcmute.edu.vn"
"22110081","Dương Đức Hải","22110081@student.hcmute.edu.vn"
"22110082","Lý Ngọc Long","22110082@student.hcmute.edu.vn"
"22110083","Huỳnh Hoàng Phúc","22110083@student.hcmute.edu.vn"
"22110084","Đoàn Quang Tiến","22110084@student.hcmute.edu.vn"
"22110085","Nguyễn Thành Vinh","22110085@student.hcmute.edu.vn"
"22110086","Trần Hữu Cường","22110086@student.hcmute.edu.vn"
"22110087","Lê Thanh Hoàng","22110087@student.hcmute.edu.vn"
"22110088","Phạm Minh Nam","22110088@student.hcmute.edu.vn"
"22110089","Hoàng Trọng Quang","22110089@student.hcmute.edu.vn"
"22110090","Phan Tuấn Trí","22110090@student.hcmute.edu.vn"
"22110091","Vũ Thị Việt","22110091@student.hcmute.edu.vn"
"22110092","Võ Quốc Đạt","22110092@student.hcmute.edu.vn"
"22110093","Đặng Đình Huy","22110093@student.hcmute.edu.vn"
"22110094","Bùi Gia Nhân","22110094@student.hcmute.edu.vn"
"22110095","Đỗ Bảo Thắng","22110095@student.hcmute.edu.vn"
"22110096","Hồ Văn Tú","22110096@student.hcmute.edu.vn"
"22110097","Ngô Đức Tài","22110097@student.hcmute.edu.vn"
"22110098","Dương Ngọc Hà","22110098@student.hcmute.edu.vn"
"22110099","Lý Hoàng Kiệt","22110099@student.hcmute.edu.vn"
"22110100","Huỳnh Quang Phong","22110100@student.hcmute.edu.vn"
"22110101","Đoàn Thành Thuận","22110101@student.hcmute.edu.vn"
"22110102","Nguyễn Hữu Tùng","22110102@student.hcmute.edu.vn"
"22110103","Trần Thanh Bình","22110103@student.hcmute.edu.vn"
"22110104","Lê Minh Hiếu","22110104@student.hcmute.edu.vn"
"22110105","Phạm Trọng Minh","22110105@student.hcmute.edu.vn"
"22110106","Hoàng Tuấn Quân","22110106@student.hcmute.edu.vn"
"22110107","Phan Thị Toàn","22110107@student.hcmute.edu.vn"
"22110108","Vũ Quốc Vũ","22110108@student.hcmute.edu.vn"
"22110109","Võ Đình Dũng","22110109@student.hcmute.edu.vn"
"22110110","Đặng Gia Hùng","22110110@student.hcmute.edu.vn"
"22110111","Bùi Bảo Nghĩa","22110111@student.hcmute.edu.vn"
"22110112","Đỗ Văn Sơn","22110112@student.hcmute.edu.vn"
"22110113","Hồ Đức Trung","22110113@student.hcmute.edu.vn"
"22110114","Ngô Ngọc Khang","22110114@student.hcmute.edu.vn"
"22110115","Dương Hoàng Giang","22110115@student.hcmute.edu.vn"
"22110116","Lý Quang Khoa","22110116@student.hcmute.edu.vn"
"22110117","Huỳnh Thành Phát","22110117@student.hcmute.edu.vn"
"22110118","Đoàn Hữu Thịnh","22110118@student.hcmute.edu.vn"
"22110119","Nguyễn Thanh Tuấn","22110119@student.hcmute.edu.vn"
"22110120","Trần Minh An","22110120@student.hcmute.edu.vn"
"22110121","Lê Trọng Hải","22110121@student.hcmute.edu.vn"
"22110122","Phạm Tuấn Long","22110122@student.hcmute.edu.vn"
"22110123","Hoàng Thị Phúc","22110123@student.hcmute.edu.vn"
"22110124","Phan Quốc Tiến","22110124@student.hcmute.edu.vn"
"22110125","Vũ Đình Vinh","22110125@student.hcmute.edu.vn"
"22110126","Võ Gia Cường","22110126@student.hcmute.edu.vn"
"22110127","Đặng Bảo Hoàng","22110127@student.hcmute.edu.vn"
"22110128","Bùi Văn Nam","22110128@student.hcmute.edu.vn"
"22110129","Đỗ Đức Quang","22110129@student.hcmute.edu.vn"
"22110130","Hồ Ngọc Trí","22110130@student.hcmute.edu.vn"
"22110131","Ngô Hoàng Việt","22110131@student.hcmute.edu.vn"
"22110132","Dương Quang Đạt","22110132@student.hcmute.edu.vn"
"22110133","Lý Thành Huy","22110133@student.hcmute.edu.vn"
"22110134","Huỳnh Hữu Nhân","22110134@student.hcmute.edu.vn"
"22110135","Đoàn Thanh Thắng","22110135@student.hcmute.edu.vn"
"22110136","Nguyễn Minh Tú","22110136@student.hcmute.edu.vn"
"22110137","Trần Trọng Tài","22110137@student.hcmute.edu.vn"
"22110138","Lê Tuấn Hà","22110138@student.hcmute.edu.vn"
"22110139","Phạm Thị Kiệt","22110139@student.hcmute.edu.vn"
"22110140","Hoàng Quốc Phong","22110140@student.hcmute.edu.vn"
"22110141","Phan Đình Thuận","22110141@student.hcmute.edu.vn"
"22110142","Vũ Gia Tùng","22110142@student.hcmute.edu.vn"
"22110143","Võ Bảo Bình","22110143@student.hcmute.edu.vn"
"22110144","Đặng Văn Hiếu","22110144@student.hcmute.edu.vn"
"22110145","Bùi Đức Minh","22110145@student.hcmute.edu.vn"
"22110146","Đỗ Ngọc Quân","22110146@student.hcmute.edu.vn"
"22110147","Hồ Hoàng Toàn","22110147@student.hcmute.edu.vn"
"22110148","Ngô Quang Vũ","22110148@student.hcmute.edu.vn"
"22110149","Dương Thành Dũng","22110149@student.hcmute.edu.vn"
"22110150","Lý Hữu Hùng","22110150@student.hcmute.edu.vn"
"22110151","Huỳnh Thanh Nghĩa","22110151@student.hcmute.edu.vn"
"22110152","Đoàn Minh Sơn","22110152@student.hcmute.edu.vn"
"22110153","Nguyễn Trọng Trung","22110153@student.hcmute.edu.vn"
"22110154","Trần Tuấn Khang","22110154@student.hcmute.edu.vn"
"22110155","Lê Thị Giang","22110155@student.hcmute.edu.vn"
"22110156","Phạm Quốc Khoa","22110156@student.hcmute.edu.vn"
"22110157","Hoàng Đình Phát","22110157@student.hcmute.edu.vn"
"22110158","Phan Gia Thịnh","22110158@student.hcmute.edu.vn"
"22110159","Vũ Bảo Tuấn","22110159@student.hcmute.edu.vn"
"22110160","Võ Văn An","22110160@student.hcmute.edu.vn"
"22110161","Đặng Đức Hải","22110161@student.hcmute.edu.vn"
"22110162","Bùi Ngọc Long","22110162@student.hcmute.edu.vn"
"22110163","Đỗ Hoàng Phúc","22110163@student.hcmute.edu.vn"
"22110164","Hồ Quang Tiến","22110164@student.hcmute.edu.vn"
"22110165","Ngô Thành Vinh","22110165@student.hcmute.edu.vn"
"22110166","Dương Hữu Cường","22110166@student.hcmute.edu.vn"
"22110167","Lý Thanh Hoàng","22110167@student.hcmute.edu.vn"
"22110168","Huỳnh Minh Nam","22110168@student.hcmute.edu.vn"
"22110169","Đoàn Trọng Quang","22110169@student.hcmute.edu.vn"
"22110170","Nguyễn Tuấn Trí","22110170@student.hcmute.edu.vn"
"22110171","Trần Thị Việt","22110171@student.hcmute.edu.vn"
"22110172","Lê Quốc Đạt","22110172@student.hcmute.edu.vn"
"22110173","Phạm Đình Huy","22110173@student.hcmute.edu.vn"
"22110174","Hoàng Gia Nhân","22110174@student.hcmute.edu.vn"
"22110175","Phan Bảo Thắng","22110175@student.hcmute.edu.vn"
"22110176","Vũ Văn Tú","22110176@student.hcmute.edu.vn"
"22110177","Võ Đức Tài","22110177@student.hcmute.edu.vn"
"22110178","Đặng Ngọc Hà","22110178@student.hcmute.edu.vn"
"22110179","Bùi Hoàng Kiệt","22110179@student.hcmute.edu.vn"
"22110180","Đỗ Quang Phong","22110180@student.hcmute.edu.vn"
"22110181","Hồ Thành Thuận","22110181@student.hcmute.edu.vn"
"22110182","Ngô Hữu Tùng","22110182@student.hcmute.edu.vn"
"22110183","Dương Thanh Bình","22110183@student.hcmute.edu.vn"
"22110184","Lý Minh Hiếu","22110184@student.hcmute.edu.vn"
"22110185","Huỳnh Trọng Minh","22110185@student.hcmute.edu.vn"
"22110186","Đoàn Tuấn Quân","22110186@student.hcmute.edu.vn"
"22110187","Nguyễn Thị Toàn","22110187@student.hcmute.edu.vn"
"22110188","Trần Quốc Vũ","22110188@student.hcmute.edu.vn"
"22110189","Lê Đình Dũng","22110189@student.hcmute.edu.vn"
"22110190","Phạm Gia Hùng","22110190@student.hcmute.edu.vn"
"22110191","Hoàng Bảo Nghĩa","22110191@student.hcmute.edu.vn"
"22110192","Phan Văn Sơn","22110192@student.hcmute.edu.vn"
"22110193","Vũ Đức Trung","22110193@student.hcmute.edu.vn"
"22110194","Võ Ngọc Khang","22110194@student.hcmute.edu.vn"
"22110195","Đặng Hoàng Giang","22110195@student.hcmute.edu.vn"
"22110196","Bùi Quang Khoa","22110196@student.hcmute.edu.vn"
"22110197","Đỗ Thành Phát","22110197@student.hcmute.edu.vn"
"22110198","Hồ Hữu Thịnh","22110198@student.hcmute.edu.vn"
"22110199","Ngô Thanh Tuấn","22110199@student.hcmute.edu.vn"
"22110200","Dương Minh An","22110200@student.hcmute.edu.vn"
"22110201","Lý Trọng Hải","22110201@student.hcmute.edu.vn"
"22110202","Huỳnh Tuấn Long","22110202@student.hcmute.edu.vn"
"22110203","Đoàn Thị Phúc","22110203@student.hcmute.edu.vn"
"22110204","Nguyễn Quốc Tiến","22110204@student.hcmute.edu.vn"
"22110205","Trần Đình Vinh","22110205@student.hcmute.edu.vn"
"22110206","Lê Gia Cường","22110206@student.hcmute.edu.vn"
"22110207","Phạm Bảo Hoàng","22110207@student.hcmute.edu.vn"
"22110208","Hoàng Văn Nam","22110208@student.hcmute.edu.vn"
"22110209","Phan Đức Quang","22110209@student.hcmute.edu.vn"
"22110210","Vũ Ngọc Trí","22110210@student.hcmute.edu.vn"
"22110211","Võ Hoàng Việt","22110211@student.hcmute.edu.vn"
"22110212","Đặng Quang Đạt","22110212@student.hcmute.edu.vn"
"22110213","Bùi Thành Huy","22110213@student.hcmute.edu.vn"
"22110214","Đỗ Hữu Nhân","22110214@student.hcmute.edu.vn"
"22110215","Hồ Thanh Thắng","22110215@student.hcmute.edu.vn"
"22110216","Ngô Minh Tú","22110216@student.hcmute.edu.vn"
"22110217","Dương Trọng Tài","22110217@student.hcmute.edu.vn"
"22110218","Lý Tuấn Hà","22110218@student.hcmute.edu.vn"
"22110219","Huỳnh Thị Kiệt","22110219@student.hcmute.edu.vn"
"22110220","Đoàn Quốc Phong","22110220@student.hcmute.edu.vn"
"22110221","Nguyễn Đình Thuận","22110221@student.hcmute.edu.vn"
"22110222","Trần Gia Tùng","22110222@student.hcmute.edu.vn"
"22110223","Lê Bảo Bình","22110223@student.hcmute.edu.vn"
"22110224","Phạm Văn Hiếu","22110224@student.hcmute.edu.vn"
"22110225","Hoàng Đức Minh","22110225@student.hcmute.edu.vn"
"22110226","Phan Ngọc Quân","22110226@student.hcmute.edu.vn"
"22110227","Vũ Hoàng Toàn","22110227@student.hcmute.edu.vn"
"22110228","Võ Quang Vũ","22110228@student.hcmute.edu.vn"
"22110229","Đặng Thành Dũng","22110229@student.hcmute.edu.vn"
"22110230","Bùi Hữu Hùng","22110230@student.hcmute.edu.vn"
"22110231","Đỗ Thanh Nghĩa","22110231@student.hcmute.edu.vn"
"22110232","Hồ Minh Sơn","22110232@student.hcmute.edu.vn"
"22110233","Ngô Trọng Trung","22110233@student.hcmute.edu.vn"
"22110234","Dương Tuấn Khang","22110234@student.hcmute.edu.vn"
"22110235","Lý Thị Giang","22110235@student.hcmute.edu.vn"
"22110236","Huỳnh Quốc Khoa","22110236@student.hcmute.edu.vn"
"22110237","Đoàn Đình Phát","22110237@student.hcmute.edu.vn"
"22110238","Nguyễn Gia Thịnh","22110238@student.hcmute.edu.vn"
"22110239","Trần Bảo Tuấn","22110239@student.hcmute.edu.vn"
"22110240","Lê Văn An","22110240@student.hcmute.edu.vn"
"22110241","Phạm Đức Hải","22110241@student.hcmute.edu.vn"
"22110242","Hoàng Ngọc Long","22110242@student.hcmute.edu.vn"
"22110243","Phan Hoàng Phúc","22110243@student.hcmute.edu.vn"
"22110244","Vũ Quang Tiến","22110244@student.hcmute.edu.vn"
"22110245","Võ Thành Vinh","22110245@student.hcmute.edu.vn"
"22110246","Đặng Hữu Cường","22110246@student.hcmute.edu.vn"
"22110247","Bùi Thanh Hoàng","22110247@student.hcmute.edu.vn"
"22110248","Đỗ Minh Nam","22110248@student.hcmute.edu.vn"
"22110249","Hồ Trọng Quang","22110249@student.hcmute.edu.vn"
"22110250","Ngô Tuấn Trí","22110250@student.hcmute.edu.vn"
"22110251","Dương Thị Việt","22110251@student.hcmute.edu.vn"
"22110252","Lý Quốc Đạt","22110252@student.hcmute.edu.vn"
"22110253","Huỳnh Đình Huy","22110253@student.hcmute.edu.vn"
"22110254","Đoàn Gia Nhân","22110254@student.hcmute.edu.vn"
"22110255","Nguyễn Bảo Thắng","22110255@student.hcmute.edu.vn"
"22110256","Trần Văn Tú","22110256@student.hcmute.edu.vn"
"22110257","Lê Đức Tài","22110257@student.hcmute.edu.vn"
"22110258","Phạm Ngọc Hà","22110258@student.hcmute.edu.vn"
"22110259","Hoàng Hoàng Kiệt","22110259@student.hcmute.edu.vn"
"22110260","Phan Quang Phong","22110260@student.hcmute.edu.vn"
"22110261","Vũ Thành Thuận","22110261@student.hcmute.edu.vn"
"22110262","Võ Hữu Tùng","22110262@student.hcmute.edu.vn"
"22110263","Đặng Thanh Bình","22110263@student.hcmute.edu.vn"
"22110264","Bùi Minh Hiếu","22110264@student.hcmute.edu.vn"
"22110265","Đỗ Trọng Minh","22110265@student.hcmute.edu.vn"
"22110266","Hồ Tuấn Quân","22110266@student.hcmute.edu.vn"
"22110267","Ngô Thị Toàn","22110267@student.hcmute.edu.vn"
"22110268","Dương Quốc Vũ","22110268@student.hcmute.edu.vn"
"22110269","Lý Đình Dũng","22110269@student.hcmute.edu.vn"
"22110270","Huỳnh Gia Hùng","22110270@student.hcmute.edu.vn"
"22110271","Đoàn Bảo Nghĩa","22110271@student.hcmute.edu.vn"
"22110272","Nguyễn Văn Sơn","22110272@student.hcmute.edu.vn"
"22110273","Trần Đức Trung","22110273@student.hcmute.edu.vn"
"22110274","Lê Ngọc Khang","22110274@student.hcmute.edu.vn"
"22110275","Phạm Hoàng Giang","22110275@student.hcmute.edu.vn"
"22110276","Hoàng Quang Khoa","22110276@student.hcmute.edu.vn"
"22110277","Phan Thành Phát","22110277@student.hcmute.edu.vn"
"22110278","Vũ Hữu Thịnh","22110278@student.hcmute.edu.vn"
"22110279","Võ Thanh Tuấn","22110279@student.hcmute.edu.vn"
"22110280","Đặng Minh An","22110280@student.hcmute.edu.vn"
"22110281","Bùi Trọng Hải","22110281@student.hcmute.edu.vn"
"22110282","Đỗ Tuấn Long","22110282@student.hcmute.edu.vn"
"22110283","Hồ Thị Phúc","22110283@student.hcmute.edu.vn"
"22110284","Ngô Quốc Tiến","22110284@student.hcmute.edu.vn"
"22110285","Dương Đình Vinh","22110285@student.hcmute.edu.vn"
"22110286","Lý Gia Cường","22110286@student.hcmute.edu.vn"
"22110287","Huỳnh Bảo Hoàng","22110287@student.hcmute.edu.vn"
"22110288","Đoàn Văn Nam","22110288@student.hcmute.edu.vn"
"22110289","Nguyễn Đức Quang","22110289@student.hcmute.edu.vn"
"22110290","Trần Ngọc Trí","22110290@student.hcmute.edu.vn"
"22110291","Lê Hoàng Việt","22110291@student.hcmute.edu.vn"
"22110292","Phạm Quang Đạt","22110292@student.hcmute.edu.vn"
"22110293","Hoàng Thành Huy","22110293@student.hcmute.edu.vn"
"22110294","Phan Hữu Nhân","22110294@student.hcmute.edu.vn"
"22110295","Vũ Thanh Thắng","22110295@student.hcmute.edu.vn"
"22110296","Võ Minh Tú","22110296@student.hcmute.edu.vn"
"22110297","Đặng Trọng Tài","22110297@student.hcmute.edu.vn"
"22110298","Bùi Tuấn Hà","22110298@student.hcmute.edu.vn"
"22110299","Đỗ Thị Kiệt","22110299@student.hcmute.edu.vn"
"22110300","Hồ Quốc Phong","22110300@student.hcmute.edu.vn"
